학교,코드 번호,제목,Name,Strategic field,Keywords
University of Toronto,UT-055,Deep Learning Surrogate Modeling and Design Optimization of Battery Thermal Management Systemst,Cristina Amon,"Secondary Battery, Advanced Mobility, AI","Advanced Mobility, Artificial Intelligence, Secondary Batteries, Thermal Management, Deep Learning, Convolutional Neural, Networks (CNN)"
University of Toronto,UT-056,Machine learning prediction of CRISPR guide RNA chemical modifications to improve Cas9 DNA cleavage specificity,Prof. Basil Hubbard,Advanced Bio,"BioㆍMedical, BioㆍMedical, Medical Bio, Other Biopharmaceuticals /, Bio-Materials, Medical Bio, Pharmaceutical Bio-based, Technologies"
University of Toronto,UT-057,On-Device Deployment of Large Language Models via Algorithmic Optimization,Ashish Khisti,AI,"Information & Communication, Information & Communication, Information Security, Industrial Security and, Convergence Security, Software, Software Solutions"
University of Toronto,UT-058,Augmented Robotic Manufacturing of Bio-Based Connector Kits for Modular Multi-Story Timber Buildings,University of Toronto,Advanced Robotics & Manufacturing,"MechanicalㆍMaterials, MechanicalㆍMaterials, Robotics/Automation, Machinery, Production Automation, Technologies, Robotics/Automation, Machinery, Assembly/Precision Transfer, Technologies"
University of Toronto,UT-059,Development of an AI-based hospital kiosk system for patients with chronic lung disease,Il-Min Kim,AI,"Information and Communication, Bio and Medical, Software, AI, Medical Information, and Systems, Medical devices"
University of Toronto,UT-060,A Technology to Reduce Traffic Accidents by Assessing Risk of Collision with Fleet Telematics,Birsen Donmez,Advanced Mobility,"Information & Communication, Information & Communication, ITS / Telematics, Telematics Application, Services, ITS / Telematics, Telematics Terminals, and Devices"
University of Toronto,UT-061,Development of an arc detection and motor fault prediction system equipped with an AI deep learning–based intelligent system in smart power protection devices,Il-Min Kim,AI,"Electrical & Electronics, Electrical & Electronics, Electrical & Electronic Parts, Other Electrical &, Electronic Parts, Heavy Electrical, Equipment, Other Heavy Electrical, Equipment"
University of Toronto,UT-062,Technology development for LMM-based semantic understanding of engineering drawings and generation of structured parametric CADprocess data for downstream manufacturing systems,Il-Min Kim,AI,Machinery and Materials Information and communications Robot/Automation machinery IT and software related to robot Software SW solution
University of Toronto,UT-063,Room-Temperature Upconverted Superfluorescence Nanocrystals for Chip-Scale Quantum Photonics and Ultrafast Optical Signaling,Kai Huang,Quantum,"ElectricalㆍElectronics, Chemicals, Optical Application, Devices, Light Sources, Fine Chemicals, Nano-Application, Technologies"
University of Toronto,UT-064,"Highly stable perovskite nanocrystal composite emitters for next-generation displays, accelerated by autonomous synthesis",Kai Huang,Semiconductor/Display,"ElectricalㆍElectronics, Chemicals, Display, Display Components, and Materials, Fine Chemicals, Nano-Application, Technologies"
University of Toronto,UT-065,A Manufacturing Foundation AI Model Learning Dynamic Structural Mechanics and Generation of Optimal Pre-process Setup Solutions,Patrick C. Lee,"AI, Advanced Robotics & Manufacturing","Mechanical ㆍMaterials, Mechanical ㆍMaterials, Robotics/Automation, Machinery, Robotics/Automation, Machinery Software, Industrial/General, Machinery, Industrial/General, Machinery Software"
University of Toronto,UT-066,Advanced manufacturing of nacre-like architectures using micronano layering with ternary fillers for thermal-runaway protection in lithium-ion batteries,Patrick C. Lee,Secondary Battery,"Chemicals, MechanicalㆍMaterials, Polymeric Materials, Polymer Processing, Technologies, Precision Manufacturing, Machinery, Press Machines"
University of Toronto,UT-067,AI based development of ionizable lipids and lipid nanoparticle formulation for CNS delivery of Base Editors ,Bowen Li,"Advanced Bio, AI","BioㆍMedical, BioㆍMedical, Medical Bio, Drug Delivery Systems, Medical Bio, Drug Delivery Systems"
CSEM,CS-001,"Agentic LLM-Powered Digital Solutions for Healthcare, Research, and Industrial Automation",Oskar Truffer,AI,"Bio / Medical, Open, Open"
CSEM,CS-002,"Digital mobility biomarkers a technology that allows the early detection and prevention of functional decline in old age, neurological disorders, and mobility-limiting diseases.",Jens Krauss,"Advanced Bio, AI",BioㆍMedical BioㆍMedical Medical Information & Systems Remote and Home Health care Devices Therapeutic Devices & Diagnostic Devices Bio-signal Measurement / Diagnostic Devices
CSEM,CS-003,Cableless electrocardiographic device for ICU or wearables,Olivier Chételat,"Semiconductor/Display, Advanced Bio","Electrical / Electronics, Bio / Medical, Measuring Instruments Measurement Sensors, and Components, Therapeutic Devices &, Diagnostic Devices, Bio-signal Measurement, / Diagnostic Devices"
CSEM,CS-004,Optical Sensing Technologies and Algorithms for Vital Sign Monitoring in Wearable Device,Damien Ferrario,"Advanced Bio, AI","BioㆍMedical, Electrical·Electronics, Medical Information &, Systems, Bio-signal Measurement, / Diagnostic Devices, Optical Application Devices, Optical Measurement, and Control Devices"
CSEM,CS-005,zBMS - A battery management platform with novel sensing and acting capabilities for improved performance and safety,Andreas Hutter,"Secondary Battery, Aerospace/Marine","ElectricalㆍElectronics, ElectricalㆍElectronics, Batteries, Application and Utilization Technologies, Batteries, Secondary Batteries"
